"site_id","stand","trt","year","subplot","pass","count","detect","obs"
"10024 _ 1 _ 2023",10024,"BS",2023,"1","1",0,0,"JW"
"10024 _ 1 _ 2023",10024,"BS",2023,"1","2",0,0,"JB"
"10024 _ 1 _ 2023",10024,"BS",2023,"1","3",0,0,"BZ"
"10024 _ 1 _ 2023",10024,"BS",2023,"2","1",0,0,"JW"
"10024 _ 1 _ 2023",10024,"BS",2023,"2","2",0,0,"JB"
"10024 _ 1 _ 2023",10024,"BS",2023,"2","3",0,0,"BZ"
"10024 _ 1 _ 2023",10024,"BS",2023,"3","1",0,0,"JW"
"10024 _ 1 _ 2023",10024,"BS",2023,"3","2",0,0,"JB"
"10024 _ 1 _ 2023",10024,"BS",2023,"3","3",0,0,"BZ"
"10024 _ 1 _ 2023",10024,"BS",2023,"4","1",0,0,"JW"
"10024 _ 1 _ 2023",10024,"BS",2023,"4","2",0,0,"JB"
"10024 _ 1 _ 2023",10024,"BS",2023,"4","3",0,0,"BZ"
"10024 _ 1 _ 2023",10024,"BS",2023,"5","1",0,0,"JW"
"10024 _ 1 _ 2023",10024,"BS",2023,"5","2",0,0,"JB"
"10024 _ 1 _ 2023",10024,"BS",2023,"5","3",0,0,"BZ"
"10024 _ 1 _ 2023",10024,"BS",2023,"6","1",0,0,"JW"
"10024 _ 1 _ 2023",10024,"BS",2023,"6","2",0,0,"JB"
"10024 _ 1 _ 2023",10024,"BS",2023,"6","3",0,0,"BZ"
"10024 _ 1 _ 2023",10024,"BS",2023,"7","1",0,0,"JW"
"10024 _ 1 _ 2023",10024,"BS",2023,"7","2",0,0,"JB"
"10024 _ 1 _ 2023",10024,"BS",2023,"7","3",0,0,"BZ"
"10024 _ 1 _ 2024",10024,"BS",2024,"1","1",0,0,"JW"
"10024 _ 1 _ 2024",10024,"BS",2024,"1","2",0,0,"RMM"
"10024 _ 1 _ 2024",10024,"BS",2024,"1","3",0,0,"SLG"
"10024 _ 1 _ 2024",10024,"BS",2024,"2","1",0,0,"JW"
"10024 _ 1 _ 2024",10024,"BS",2024,"2","2",0,0,"RMM"
"10024 _ 1 _ 2024",10024,"BS",2024,"2","3",0,0,"SLG"
"10024 _ 1 _ 2024",10024,"BS",2024,"3","1",0,0,"JW"
"10024 _ 1 _ 2024",10024,"BS",2024,"3","2",0,0,"RMM"
"10024 _ 1 _ 2024",10024,"BS",2024,"3","3",0,0,"SLG"
"10024 _ 1 _ 2024",10024,"BS",2024,"4","1",0,0,"JW"
"10024 _ 1 _ 2024",10024,"BS",2024,"4","2",0,0,"RMM"
"10024 _ 1 _ 2024",10024,"BS",2024,"4","3",0,0,"SLG"
"10024 _ 1 _ 2024",10024,"BS",2024,"5","1",0,0,"JW"
"10024 _ 1 _ 2024",10024,"BS",2024,"5","2",0,0,"RMM"
"10024 _ 1 _ 2024",10024,"BS",2024,"5","3",0,0,"SLG"
"10024 _ 1 _ 2024",10024,"BS",2024,"6","1",0,0,"JW"
"10024 _ 1 _ 2024",10024,"BS",2024,"6","2",0,0,"RMM"
"10024 _ 1 _ 2024",10024,"BS",2024,"6","3",0,0,"SLG"
"10024 _ 1 _ 2024",10024,"BS",2024,"7","1",0,0,"JW"
