fid,OBJECTID,DISTRICT,LEGAL_DESC,AVGAGE,UTMX,UTMY,Acres,Owner,Srvy_2015,Srvy_2013,Srvy_2014,Srvy_2016,Srvy_2017,Srvy_2018,Srvy_2019,Cut_Yr,Burned,layer,path,Site_ID,treatment,Srvy_13_19,Srvy_23,Srvy_24
1,0,Clackamas,04S-04E-23,97,556967,5006880,71.3561,BLM,0,0,0,1,0,1,1,0,Yes,OSS_All_Units2,C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/WY OSS Shapefiles/OSS_All_Units2/OSS_All_Units2.shp,9757,BU,1,1,1
2,0,Clackamas,05S-04E-06,53,549668,5001240,62.7136,PBTF,1,0,0,0,0,1,1,2015,No,OSS_All_Units2,C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/WY OSS Shapefiles/OSS_All_Units2/OSS_All_Units2.shp,408143,HU,1,1,1
8,0,Clackamas,05S-04E-08,59,552069,4999410,112.356,PBTF,0,0,0,1,0,1,1,2014,No,OSS_All_Units2,C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/WY OSS Shapefiles/OSS_All_Units2/OSS_All_Units2.shp,33810,HU,1,1,1
18,0,Clackamas,05S-04E-04,52,553438,5001510,90.494,PBTF,1,0,0,1,0,0,1,2017,No,OSS_All_Units2,C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/WY OSS Shapefiles/OSS_All_Units2/OSS_All_Units2.shp,408162,HU,1,1,1
22,0,North Cascade,09S-03E-17,51,542731,4958920,39.8638,ODF,0,0,0,0,0,1,1,2015,Yes,OSS_All_Units2,C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/WY OSS Shapefiles/OSS_All_Units2/OSS_All_Units2.shp,12362,HB,1,1,1
23,0,North Cascade,09S-03E-20,61,541620,4958230,74.0266,ODF,1,0,0,0,0,1,1,2015,Yes,OSS_All_Units2,C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/WY OSS Shapefiles/OSS_All_Units2/OSS_All_Units2.shp,12364,HB,1,1,1
26,0,Clackamas,06S-02E-19,84,530550,4986750,191.039,BLM,0,0,0,1,0,1,1,0,No,OSS_All_Units2,C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/WY OSS Shapefiles/OSS_All_Units2/OSS_All_Units2.shp,13924,UU,1,1,1
27,72705,Clackamas,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,CL_50older_6ac,/vsizip/C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/CL New Sites shp.zip/CL_50older_6ac.shp|layername=CL_50older_6ac,11081,BS,0,0,1
28,72705,Clackamas,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,CL_50older_6ac,/vsizip/C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/CL New Sites shp.zip/CL_50older_6ac.shp|layername=CL_50older_6ac,11081,BS,0,0,1
31,0,Clackamas,04S-04E-25,68,557761,5004360,72.8418,PBTF,1,0,0,0,0,1,1,2016,Yes,OSS_All_Units2,C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/WY OSS Shapefiles/OSS_All_Units2/OSS_All_Units2.shp,33651,HB,1,1,1
